"Bevolking; geslacht, leeftijd en burgerlijke staat, 1 januari"
"Geslacht: Totaal mannen en vrouwen"
"Burgerlijke staat: Totaal burgerlijke staat"
""
"Perioden";"2000";"2001";"2002";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"Onderwerp";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking"
"Leeftijd";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"35 jaar";"270756";"266036";"261381";"261042";"271362";"263603";"250631";"237886";"219239";"211420";"202287";"200284";"198026";"200654";"200407";"207725";"205834";"202806";"203806";"211608";"216405";"223383";"228622";"232602";"237424"
"36 jaar";"266912";"271180";"266577";"259031";"260113";"270085";"262450";"250019";"238000";"219551";"211565";"202343";"200174";"197947";"201074";"201021";"208767";"206883";"204401";"205694";"212811";"217872";"227431";"230994";"233973"
"37 jaar";"262375";"267304";"271319";"260628";"258114";"258908";"268804";"261709";"250022";"238235";"219610";"211582";"202021";"200072";"198140";"201431";"201973";"209769";"208114";"206135";"206720";"214114";"221810";"229601";"232414"
"38 jaar";"260425";"262689";"267578";"265689";"259756";"257030";"257643";"267993";"261601";"250085";"238157";"219615";"211254";"201965";"200301";"198588";"202260";"202927";"210971";"209787";"207274";"208001";"217774";"223877";"231050"
"39 jaar";"254475";"260804";"262777";"270348";"264760";"258649";"255948";"257012";"267747";"261658";"249949";"237962";"219337";"211050";"202078";"200648";"199353";"202971";"204001";"212604";"210876";"208601";"211752";"219758";"225287"
"40 jaar";"252699";"254734";"260852";"266472";"269524";"263641";"257449";"255160";"256790";"267782";"261472";"249814";"237477";"219087";"211257";"202442";"201258";"200028";"203992";"205400";"213550";"211882";"211806";"213383";"221080"
"41 jaar";"246564";"252948";"254773";"261896";"265525";"268478";"262504";"256748";"254774";"256802";"267597";"261309";"249340";"237223";"219074";"211549";"203023";"201974";"201027";"205351";"206262";"214516";"214938";"213499";"214659"
"42 jaar";"242282";"246541";"253002";"259788";"261123";"264564";"267298";"261722";"256551";"254653";"256549";"267192";"260702";"249250";"237251";"219286";"212159";"203622";"202851";"202233";"206100";"207041";"217309";"216297";"214700"
"43 jaar";"238896";"242316";"246436";"253514";"258950";"260097";"263501";"266525";"261342";"256394";"254265";"256353";"266761";"260436";"249140";"237447";"219687";"212658";"204259";"203832";"203073";"206855";"209574";"218723";"217394"
"44 jaar";"233900";"238789";"242133";"251798";"252643";"257917";"259072";"262749";"266112";"261149";"256042";"253885";"255910";"266319";"260142";"249258";"237753";"220030";"213259";"205192";"204503";"203753";"209258";"210959";"219649"
"45 jaar";"231177";"233601";"238481";"245225";"250854";"251613";"256966";"258270";"262189";"265841";"260647";"255768";"253462";"255420";"266003";"260071";"249370";"238148";"220643";"214175";"205701";"205223";"205929";"210434";"211942"
"46 jaar";"228402";"230868";"233211";"240559";"244306";"249787";"250473";"256047";"257799";"261790";"265402";"260063";"255175";"252995";"254999";"265868";"260176";"249678";"238587";"221397";"214822";"206214";"207288";"207119";"211189"
"47 jaar";"229317";"228005";"230382";"237050";"239688";"243254";"248624";"249676";"255462";"257367";"261205";"264853";"259365";"254723";"252511";"254821";"265988";"260267";"249933";"239141";"221788";"215171";"207998";"208227";"207764"
"48 jaar";"221937";"228776";"227433";"231818";"236046";"238628";"242208";"247740";"249102";"254981";"256709";"260558";"264180";"258840";"254164";"252236";"254849";"265974";"260536";"250414";"239467";"222245";"216840";"208899";"208879"
"49 jaar";"223598";"221417";"228239";"228673";"230785";"234874";"237498";"241280";"246996";"248578";"254329";"256063";"259842";"263500";"258240";"253748";"252208";"254756";"266020";"260941";"250796";"239601";"223602";"217520";"209497"
"50 jaar";"226865";"223052";"220717";"225631";"227712";"229556";"233770";"236586";"240523";"246297";"247864";"253629";"255316";"258994";"262968";"257576";"253491";"252051";"254909";"266187";"261085";"250796";"240810";"224022";"217712"
"51 jaar";"234280";"226178";"222300";"226276";"224473";"226566";"228436";"232821";"235743";"239742";"245464";"247023";"252683";"254506";"258304";"262325";"257118";"253303";"251946";"254922";"266184";"260912";"251584";"241036";"224049"
"52 jaar";"246764";"233472";"225340";"218693";"225103";"223285";"225290";"227366";"231871";"234939";"238922";"244675";"246134";"251815";"253699";"257664";"261761";"256811";"253097";"251934";"254782";"265900";"261502";"251630";"240942"
"53 jaar";"254395";"245712";"232467";"220037";"217476";"223895";"222074";"224177";"226360";"231001";"234073";"238055";"243813";"245175";"251034";"252826";"257147";"261171";"256392";"252798";"251614";"254354";"266250";"261334";"251327"
"54 jaar";"183022";"253328";"244618";"222986";"218737";"216223";"222658";"220903";"223183";"225388";"229996";"233061";"236965";"242777";"244179";"250128";"252100";"256510";"260512";"255985";"252466";"251108";"254507";"265863";"260799"
"55 jaar";"191026";"182096";"252116";"229766";"221656";"217344";"214882";"221370";"219914";"222155";"224266";"229048";"231914";"235908";"241775";"243213";"249394";"251271";"255864";"259958";"255486";"251762";"251120";"254071";"265215"
"56 jaar";"181053";"189958";"181051";"241725";"228295";"220205";"215916";"213644";"220105";"218711";"220950";"223177";"227936";"230828";"234959";"240729";"242307";"248603";"250557";"255085";"259303";"254567";"251522";"250520";"253268"
"57 jaar";"166805";"179983";"188824";"248884";"240080";"226695";"218682";"214508";"212354";"218944";"217486";"219852";"221929";"226724";"229715";"233966";"239624";"241399";"247542";"249709";"254398";"258325";"254172";"250766";"249683"
"58 jaar";"158542";"165738";"178644";"178433";"247016";"238262";"225047";"217130";"213145";"211215";"217707";"216229";"218537";"220679";"225555";"228536";"232915";"238550";"240203";"246676";"248827";"253240";"257755";"253213";"249651"
"59 jaar";"162020";"157354";"164506";"185945";"177031";"245106";"236515";"223359";"215614";"211819";"209838";"216236";"214861";"217170";"219382";"224170";"227365";"231687";"237366";"239164";"245543";"247599";"252457";"256492";"252062"
"60 jaar";"155281";"160755";"156048";"175738";"184262";"175449";"243069";"234567";"221563";"214127";"210341";"208372";"214809";"213397";"215677";"217979";"222845";"226041";"230261";"236163";"237918";"243990";"246891";"251181";"255037"
"61 jaar";"151123";"153956";"159413";"161499";"174083";"182579";"173827";"240914";"232554";"219840";"212539";"208820";"206833";"213245";"211829";"214133";"216574";"221321";"224577";"228921";"234687";"236460";"243125";"245546";"249735"
"62 jaar";"141656";"149675";"152466";"153023";"159871";"172285";"180773";"172184";"238756";"230511";"218020";"210857";"207123";"205183";"211610";"210154";"212474";"215014";"219687";"223075";"227404";"232975";"235492";"241603";"243861"
"63 jaar";"139673";"140113";"148251";"156208";"151468";"158206";"170390";"178934";"170560";"236571";"228407";"216156";"208919";"205353";"203469";"209831";"208453";"210758";"213299";"218121";"221404";"225583";"231731";"233833";"239742"
"64 jaar";"135719";"138052";"138505";"149118";"154409";"149776";"156479";"168680";"177164";"168958";"234345";"226285";"214113";"207026";"203599";"201655";"207996";"206604";"209015";"211518";"216248";"219489";"224182";"229807";"231868"
"65 jaar";"133259";"133928";"136252";"144516";"147153";"152324";"147934";"154591";"166541";"175028";"166954";"231795";"223702";"211824";"204833";"201381";"199561";"206100";"204712";"207231";"209603";"214114";"217945";"222129";"227643"
"66 jaar";"129161";"131199";"132035";"134504";"142490";"145030";"150280";"145916";"152559";"164506";"172881";"164904";"229068";"221130";"209441";"202457";"199123";"197317";"203761";"202623";"205025";"207190";"212222";"215820";"219958"
"67 jaar";"130546";"127030";"129049";"132227";"132479";"140390";"142966";"148227";"143990";"150624";"162308";"170719";"162830";"226304";"218499";"206918";"200033";"196878";"194999";"201498";"200160";"202404";"205091";"209653";"213323"
"68 jaar";"125900";"128209";"124804";"127640";"130076";"130362";"138168";"140833";"146016";"141994";"148601";"160202";"168372";"160611";"223372";"215655";"204246";"197672";"194511";"192697";"198911";"197548";"200221";"202609";"207009"
